Column1,Id,Time,Total_Sleep_Records,Total_Minutes_Asleep,Total_Time_In_Bed,ActivityDate,Day_of_Week,Total_Steps,Total_Distance_Miles,Tracker_Distance_Miles,Logged_Activities_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Calories
1,1503960366,12:00:00 AM,1,327,346,4/12/2016,Tuesday,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985
2,1503960366,12:00:00 AM,1,327,346,4/13/2016,Wednesday,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797
3,1503960366,12:00:00 AM,1,327,346,4/14/2016,Thursday,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776
4,1503960366,12:00:00 AM,1,327,346,4/15/2016,Friday,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745
5,1503960366,12:00:00 AM,1,327,346,4/16/2016,Saturday,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863
6,1503960366,12:00:00 AM,1,327,346,4/17/2016,Sunday,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728
7,1503960366,12:00:00 AM,1,327,346,4/18/2016,Monday,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921
8,1503960366,12:00:00 AM,1,327,346,4/19/2016,Tuesday,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035
9,1503960366,12:00:00 AM,1,327,346,4/20/2016,Wednesday,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786
10,1503960366,12:00:00 AM,1,327,346,4/21/2016,Thursday,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775
11,1503960366,12:00:00 AM,1,327,346,4/22/2016,Friday,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827
12,1503960366,12:00:00 AM,1,327,346,4/23/2016,Saturday,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949
13,1503960366,12:00:00 AM,1,327,346,4/24/2016,Sunday,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788
14,1503960366,12:00:00 AM,1,327,346,4/25/2016,Monday,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013
15,1503960366,12:00:00 AM,1,327,346,4/26/2016,Tuesday,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970
16,1503960366,12:00:00 AM,1,327,346,4/27/2016,Wednesday,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159
17,1503960366,12:00:00 AM,1,327,346,4/28/2016,Thursday,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898
18,1503960366,12:00:00 AM,1,327,346,4/29/2016,Friday,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837
19,1503960366,12:00:00 AM,1,327,346,4/30/2016,Saturday,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947
20,1503960366,12:00:00 AM,1,327,346,5/1/2016,Sunday,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820
21,1503960366,12:00:00 AM,1,327,346,5/2/2016,Monday,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004
22,1503960366,12:00:00 AM,1,327,346,5/3/2016,Tuesday,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990
24,1503960366,12:00:00 AM,1,327,346,5/5/2016,Thursday,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959
25,1503960366,12:00:00 AM,1,327,346,5/6/2016,Friday,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896
26,1503960366,12:00:00 AM,1,327,346,5/7/2016,Saturday,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821
27,1503960366,12:00:00 AM,1,327,346,5/8/2016,Sunday,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203,574,1740
28,1503960366,12:00:00 AM,1,327,346,5/9/2016,Monday,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819
29,1503960366,12:00:00 AM,1,327,346,5/10/2016,Tuesday,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859
31,1503960366,12:00:00 AM,1,327,346,5/12/2016,Thursday,0,0,0,0,0,0,0,0,0,0,0,1440,0
777,1644430081,12:00:00 AM,1,119,127,4/13/2016,Wednesday,8001,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,2902
778,1644430081,12:00:00 AM,1,119,127,4/14/2016,Thursday,11037,8.020000458,8.020000458,0,0.360000014,2.559999943,5.099999905,0,5,58,252,1125,3226
779,1644430081,12:00:00 AM,1,119,127,4/15/2016,Friday,5263,3.829999924,3.829999924,0,0.219999999,0.150000006,3.450000048,0,3,4,170,1263,2750
780,1644430081,12:00:00 AM,1,119,127,4/16/2016,Saturday,15300,11.11999989,11.11999989,0,4.099999905,1.879999995,5.090000153,0,51,42,212,1135,3493
781,1644430081,12:00:00 AM,1,119,127,4/17/2016,Sunday,8757,6.369999886,6.369999886,0,2.25,0.569999993,3.549999952,0,29,13,186,1212,3011
782,1644430081,12:00:00 AM,1,119,127,4/18/2016,Monday,7132,5.190000057,5.190000057,0,1.070000052,1.669999957,2.450000048,0,15,33,121,1271,2806
783,1644430081,12:00:00 AM,1,119,127,4/19/2016,Tuesday,11256,8.180000305,8.180000305,0,0.360000014,2.529999971,5.300000191,0,5,58,278,1099,3300
784,1644430081,12:00:00 AM,1,119,127,4/20/2016,Wednesday,2436,1.769999981,1.769999981,0,0,0,1.75999999,0,0,0,125,1315,2430
785,1644430081,12:00:00 AM,1,119,127,4/21/2016,Thursday,1223,0.889999986,0.889999986,0,0,0,0.879999995,0,0,0,38,1402,2140
786,1644430081,12:00:00 AM,1,119,127,4/22/2016,Friday,3673,2.670000076,2.670000076,0,0,0,2.660000086,0,0,0,86,1354,2344
787,1644430081,12:00:00 AM,1,119,127,4/23/2016,Saturday,6637,4.829999924,4.829999924,0,0,0.579999983,4.25,0,0,15,160,1265,2677
788,1644430081,12:00:00 AM,1,119,127,4/24/2016,Sunday,3321,2.410000086,2.410000086,0,0,0,2.410000086,0,0,0,89,1351,2413
789,1644430081,12:00:00 AM,1,119,127,4/25/2016,Monday,3580,2.599999905,2.599999905,0,0.589999974,0.059999999,1.950000048,0,8,1,94,1337,2497
790,1644430081,12:00:00 AM,1,119,127,4/26/2016,Tuesday,9919,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,3123
791,1644430081,12:00:00 AM,1,119,127,4/27/2016,Wednesday,3032,2.200000048,2.200000048,0,0,0,2.200000048,0,0,0,118,1322,2489
792,1644430081,12:00:00 AM,1,119,127,4/28/2016,Thursday,9405,6.840000153,6.840000153,0,0.200000003,2.319999933,4.309999943,0,3,53,227,1157,3108
793,1644430081,12:00:00 AM,1,119,127,4/29/2016,Friday,3176,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120,1193,2498
794,1644430081,12:00:00 AM,1,119,127,4/30/2016,Saturday,18213,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402,816,3846
795,1644430081,12:00:00 AM,1,119,127,5/1/2016,Sunday,6132,4.460000038,4.460000038,0,0.239999995,0.99000001,3.230000019,0,3,24,146,908,2696
796,1644430081,12:00:00 AM,1,119,127,5/2/2016,Monday,3758,2.730000019,2.730000019,0,0.07,0.310000002,2.349999905,0,1,7,148,682,2580
797,1644430081,12:00:00 AM,1,119,127,5/3/2016,Tuesday,12850,9.340000153,9.340000153,0,0.720000029,4.090000153,4.539999962,0,10,94,221,1115,3324
798,1644430081,12:00:00 AM,1,119,127,5/4/2016,Wednesday,2309,1.679999948,1.679999948,0,0,0,1.659999967,0,0,0,52,1388,2222
799,1644430081,12:00:00 AM,1,119,127,5/5/2016,Thursday,4363,3.190000057,3.190000057,0,0.519999981,0.540000021,2.130000114,0,6,12,81,1341,2463
800,1644430081,12:00:00 AM,1,119,127,5/6/2016,Friday,9787,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0,11,6,369,1054,3328
801,1644430081,12:00:00 AM,1,119,127,5/7/2016,Saturday,13372,9.720000267,9.720000267,0,3.25999999,0.790000021,5.670000076,0,41,17,243,1139,3404
802,1644430081,12:00:00 AM,1,119,127,5/8/2016,Sunday,6724,4.889999866,4.889999866,0,0,0,4.880000114,0,0,0,295,991,2987
804,1644430081,12:00:00 AM,1,119,127,5/10/2016,Tuesday,9167,6.659999847,6.659999847,0,0.879999995,0.810000002,4.96999979,0,12,19,155,1254,2799
805,1644430081,12:00:00 AM,1,119,127,5/11/2016,Wednesday,1329,0.970000029,0.970000029,0,0,0,0.949999988,0,0,0,49,713,1276
896,1844505072,12:00:00 AM,1,644,961,4/12/2016,Tuesday,6697,4.429999828,4.429999828,0,0,0,4.429999828,0,0,0,339,1101,2030
897,1844505072,12:00:00 AM,1,644,961,4/13/2016,Wednesday,4929,3.25999999,3.25999999,0,0,0,3.25999999,0,0,0,248,1192,1860
898,1844505072,12:00:00 AM,1,644,961,4/14/2016,Thursday,7937,5.25,5.25,0,0,0,5.230000019,0,0,0,373,843,2130
899,1844505072,12:00:00 AM,1,644,961,4/15/2016,Friday,3844,2.539999962,2.539999962,0,0,0,2.539999962,0,0,0,176,527,1725
900,1844505072,12:00:00 AM,1,644,961,4/16/2016,Saturday,3414,2.25999999,2.25999999,0,0,0,2.25999999,0,0,0,147,1293,1657
901,1844505072,12:00:00 AM,1,644,961,4/17/2016,Sunday,4525,2.99000001,2.99000001,0,0.140000001,0.25999999,2.589999914,0,2,8,199,1231,1793
902,1844505072,12:00:00 AM,1,644,961,4/18/2016,Monday,4597,3.039999962,3.039999962,0,0,0.479999989,2.559999943,0,0,12,217,1211,1814
903,1844505072,12:00:00 AM,1,644,961,4/19/2016,Tuesday,197,0.129999995,0.129999995,0,0,0,0.129999995,0,0,0,10,1430,1366
904,1844505072,12:00:00 AM,1,644,961,4/20/2016,Wednesday,8,0.01,0.01,0,0,0,0.01,0,0,0,1,1439,1349
905,1844505072,12:00:00 AM,1,644,961,4/21/2016,Thursday,8054,5.320000172,5.320000172,0,0.119999997,0.519999981,4.679999828,0,2,13,308,1117,2062
906,1844505072,12:00:00 AM,1,644,961,4/22/2016,Friday,5372,3.549999952,3.549999952,0,0,0,3.549999952,0,0,0,220,1220,1827
907,1844505072,12:00:00 AM,1,644,961,4/23/2016,Saturday,3570,2.359999895,2.359999895,0,0,0,2.359999895,0,0,0,139,1301,1645
912,1844505072,12:00:00 AM,1,644,961,4/28/2016,Thursday,6907,4.570000172,4.570000172,0,0,0,4.559999943,0,0,0,302,1138,1992
913,1844505072,12:00:00 AM,1,644,961,4/29/2016,Friday,4920,3.25,3.25,0,0,0,3.25,0,0,0,247,1082,1856
915,1844505072,12:00:00 AM,1,644,961,5/1/2016,Sunday,2573,1.700000048,1.700000048,0,0,0.25999999,1.450000048,0,0,7,75,585,1541
917,1844505072,12:00:00 AM,1,644,961,5/3/2016,Tuesday,4059,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,184,1256,1742
918,1844505072,12:00:00 AM,1,644,961,5/4/2016,Wednesday,2080,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,87,1353,1549
919,1844505072,12:00:00 AM,1,644,961,5/5/2016,Thursday,2237,1.480000019,1.480000019,0,0,0,1.480000019,0,0,0,120,1320,1589
920,1844505072,12:00:00 AM,1,644,961,5/6/2016,Friday,44,0.029999999,0.029999999,0,0,0,0.029999999,0,0,0,2,1438,1351
989,1927972279,12:00:00 AM,3,750,775,4/12/2016,Tuesday,678,0.469999999,0.469999999,0,0,0,0.469999999,0,0,0,55,734,2220
990,1927972279,12:00:00 AM,3,750,775,4/13/2016,Wednesday,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151
991,1927972279,12:00:00 AM,3,750,775,4/14/2016,Thursday,2163,1.5,1.5,0,0,0.400000006,1.100000024,0,0,9,88,1292,2383
992,1927972279,12:00:00 AM,3,750,775,4/15/2016,Friday,980,0.680000007,0.680000007,0,0,0,0.680000007,0,0,0,51,941,2221
995,1927972279,12:00:00 AM,3,750,775,4/18/2016,Monday,244,0.170000002,0.170000002,0,0,0,0.170000002,0,0,0,17,1423,2111
999,1927972279,12:00:00 AM,3,750,775,4/22/2016,Friday,149,0.100000001,0.100000001,0,0,0,0.100000001,0,0,0,10,1430,2093
1000,1927972279,12:00:00 AM,3,750,775,4/23/2016,Saturday,2945,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,145,1295,2499
1001,1927972279,12:00:00 AM,3,750,775,4/24/2016,Sunday,2090,1.450000048,1.450000048,0,0.07,0.239999995,1.139999986,0,1,6,75,1358,2324
1002,1927972279,12:00:00 AM,3,750,775,4/25/2016,Monday,152,0.109999999,0.109999999,0,0,0,0.109999999,0,0,0,12,1303,2100
1005,1927972279,12:00:00 AM,3,750,775,4/28/2016,Thursday,1675,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,2351
1008,1927972279,12:00:00 AM,3,750,775,5/1/2016,Sunday,2704,1.870000005,1.870000005,0,1.00999999,0.029999999,0.829999983,0,14,1,70,1355,2411
1009,1927972279,12:00:00 AM,3,750,775,5/2/2016,Monday,3790,2.619999886,2.619999886,0,1.159999967,0.300000012,1.159999967,0,16,8,94,1322,2505
1010,1927972279,12:00:00 AM,3,750,775,5/3/2016,Tuesday,1326,0.920000017,0.920000017,0,0.730000019,0,0.180000007,0,10,0,17,1413,2195
1011,1927972279,12:00:00 AM,3,750,775,5/4/2016,Wednesday,1786,1.24000001,1.24000001,0,0,0,1.24000001,0,0,0,87,1353,2338
1014,1927972279,12:00:00 AM,3,750,775,5/7/2016,Saturday,1510,1.039999962,1.039999962,0,0,0,1.039999962,0,0,0,48,1392,2229
1144,2026352035,12:00:00 AM,1,503,546,4/12/2016,Tuesday,4414,2.74000001,2.74000001,0,0.189999998,0.349999994,2.200000048,0,3,8,181,706,1459
1145,2026352035,12:00:00 AM,1,503,546,4/13/2016,Wednesday,4993,3.099999905,3.099999905,0,0,0,3.099999905,0,0,0,238,663,1521
1146,2026352035,12:00:00 AM,1,503,546,4/14/2016,Thursday,3335,2.069999933,2.069999933,0,0,0,2.049999952,0,0,0,197,653,1431
1147,2026352035,12:00:00 AM,1,503,546,4/15/2016,Friday,3821,2.369999886,2.369999886,0,0,0,2.369999886,0,0,0,188,687,1444
1148,2026352035,12:00:00 AM,1,503,546,4/16/2016,Saturday,2547,1.580000043,1.580000043,0,0,0,1.580000043,0,0,0,150,728,1373
1149,2026352035,12:00:00 AM,1,503,546,4/17/2016,Sunday,838,0.519999981,0.519999981,0,0,0,0.519999981,0,0,0,60,1053,1214
1150,2026352035,12:00:00 AM,1,503,546,4/18/2016,Monday,3325,2.059999943,2.059999943,0,0,0,2.059999943,0,0,0,182,1062,1419
1152,2026352035,12:00:00 AM,1,503,546,4/20/2016,Wednesday,7222,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327,623,1667
1153,2026352035,12:00:00 AM,1,503,546,4/21/2016,Thursday,2467,1.529999971,1.529999971,0,0,0,1.529999971,0,0,0,153,749,1370
1154,2026352035,12:00:00 AM,1,503,546,4/22/2016,Friday,2915,1.809999943,1.809999943,0,0,0,1.809999943,0,0,0,162,712,1399
1156,2026352035,12:00:00 AM,1,503,546,4/24/2016,Sunday,3490,2.160000086,2.160000086,0,0,0,2.160000086,0,0,0,164,704,1401
1157,2026352035,12:00:00 AM,1,503,546,4/25/2016,Monday,6017,3.730000019,3.730000019,0,0,0,3.730000019,0,0,0,260,821,1576
1158,2026352035,12:00:00 AM,1,503,546,4/26/2016,Tuesday,5933,3.680000067,3.680000067,0,0,0,3.680000067,0,0,0,288,1018,1595
1159,2026352035,12:00:00 AM,1,503,546,4/27/2016,Wednesday,6088,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286,586,1593
1160,2026352035,12:00:00 AM,1,503,546,4/28/2016,Thursday,6375,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,331,626,1649
